Edu_district,City,County
Mono County Roc P School District,Bridgeport,Mono
Monroe Elementary School District,Fresno,Fresno
Monrovia Unified School District,Monrovia,Los Angeles
Monson-Sultana Joint Union Elementary School District,Dinuba,Tulare
Montague Elementary School District,Montague,Siskiyou
Monte Rio Union Elementary School District,Monte Rio,Sonoma
Montebello Unified School District,Montebello,Los Angeles
Montecito Union Elementary School District,Santa Barbara,Santa Barbara
Monterey County Office Of Education School District,Salinas,Monterey
Monterey Peninsula Unified School District,Monterey,Monterey
Montgomery Elementary School District,Cazadero,Sonoma
Moorpark Unified School District,Moorpark,Ventura
Moraga Elementary School District,Moraga,Contra Costa
Moreland School District,San Jose,Santa Clara
Moreno Valley Unified School District,Moreno Valley,Riverside
Morgan Hill Unified School District,Morgan Hill,Santa Clara
Morongo Unified School District,Twentynine Palms,San Bernardino
Mother Lode Union Elementary School District,Placerville,El Dorado
Mount Pleasant Elementary School District,San Jose,Santa Clara
Mountain Elementary School District,Soquel,Santa Cruz
Mountain Empire Unified School District,Pine Valley,San Diego
Mountain House Elementary School District,Byron,Alameda
Mountain Union Elementary School District,Montgomery Creek,Shasta
Mountain Valley Unified School District,Hayfork,Trinity
Mountain View Elementary School District,El Monte,Los Angeles
Mountain View Elementary School District,Ontario,San Bernardino
Mountain View Whisman  School District,Mountain View,Santa Clara
Mountain View-Los Altos Union High School District,Mountain View,Santa Clara
Mt. Baldy Joint Elementary School District,Mount Baldy,San Bernardino
Mt. Diablo Unified School District,Concord,Contra Costa
Mt. Shasta Union Elementary School District,Mount Shasta,Siskiyou
Mulberry Elementary School District,Brawley,Imperial
Mupu Elementary School District,Santa Paula,Ventura
Muroc Joint Unified School District,North Edwards,Kern
Murrieta Valley Unified School District,Murrieta,Riverside
Napa County Office Of Education School District,Napa,Napa
Napa County Rop School District,Napa,Napa
Napa Valley Unified School District,Napa,Napa
National Elementary School District,National City,San Diego
Natomas Unified School District,Sacramento,Sacramento
Needles Unified School District,Needles,San Bernardino
Nevada City Elementary School District,Nevada City,Nevada
Nevada County Office Of Education School District,Grass Valley,Nevada
Nevada Joint Union High School District,Grass Valley,Nevada
New Haven Unified School District,Union City,Alameda
New Hope Elementary School District,Thornton,San Joaquin
New Jerusalem Elementary School District,Tracy,San Joaquin
Newark Unified School District,Newark,Alameda
Newcastle Elementary School District,Newcastle,Placer
Newhall School District,Valencia,Los Angeles
Newman-Crows Landing Unified School District,Newman,Stanislaus
Newport-Mesa Unified School District,Costa Mesa,Orange
Nicasio School District,Nicasio,Marin
Noli School,San Jacinto,Riverside
Norris Elementary School District,Bakersfield,Kern
North County Joint Union Elementary School District,Hollister,San Benito
North County Regional Occupational Center Program (Roc P) School District,Sunnyvale,Santa Clara
North Cow Creek Elementary School District,Palo Cedro,Shasta
North Kern Vocational Training Center School District,Wasco,Kern
North Monterey County Unified School District,Moss Landing,Monterey
North Orange County Rop-Adult School District,Anaheim,Orange
Northern Humboldt Union High School District,Mckinleyville,Humboldt
Norwalk-La Mirada Unified School District,Norwalk,Los Angeles
Novato Unified School District,Novato,Marin
Nuestro Elementary School District,Live Oak,Sutter
Nuview Union  School District,Nuevo,Riverside
Oak Grove Elementary School District,San Jose,Santa Clara
Oak Grove Union Elementary School District,Santa Rosa,Sonoma
Oak Park Unified School District,Oak Park,Ventura
Oak Run Elementary School District,Oak Run,Shasta
Oak Valley Union Elementary School District,Tulare,Tulare
Oak View Union Elementary School District,Acampo,San Joaquin
Oakdale Joint Unified School District,Oakdale,Stanislaus
Oakland Unified School District,Oakland,Alameda
Oakley Union Elementary School District,Oakley,Contra Costa
Ocean View School District,Huntington Beach,Orange
Ocean View School District,Oxnard,Ventura
Oceanside Unified School District,Oceanside,San Diego
Ojai Unified School District,Ojai,Ventura
Old Adobe Union School District,Petaluma,Sonoma
Ontario-Montclair School District,Ontario,San Bernardino
Orange Center School District,Fresno,Fresno
Orange County Department Of Education School District,Costa Mesa,Orange
Orange Unified School District,Orange,Orange
Orchard Elementary School District,San Jose,Santa Clara
Orcutt Union Elementary School District,Orcutt,Santa Barbara
Orick Elementary School District,Orick,Humboldt
Orinda Union Elementary School District,Orinda,Contra Costa
Orland Joint Unified School District,Orland,Glenn
Oro Grande Elementary School District,Oro Grande,San Bernardino
Oroville City Elementary School District,Oroville,Butte
Oroville Union High School District,Oroville,Butte
Outside Creek Elementary School District,Visalia,Tulare
Owens Valley Unified School District,Independence,Inyo
Oxnard School District,Oxnard,Ventura
Oxnard Union High School District,Oxnard,Ventura
Pacheco Union Elementary School District,Redding,Shasta
Pacific Elementary School District,Davenport,Santa Cruz
Pacific Grove Unified School District,Pacific Grove,Monterey
Pacific Union Elementary School District,Fresno,Fresno
Pacific Union Elementary School District,Arcata,Humboldt
Pacifica School District,Pacifica,San Mateo
Pajaro Valley Unified School District,Watsonville,Santa Cruz
Palermo Union Elementary School District,Palermo,Butte
Palm Springs Unified School District,Palm Springs,Riverside
Palmdale Elementary School District,Palmdale,Los Angeles
Palo Alto Unified School District,Palo Alto,Santa Clara
Palo Verde Unified School District,Blythe,Riverside
Palo Verde Union Elementary School District,Tulare,Tulare
Palos Verdes Peninsula Unified School District,Palos Verdes Estates,Los Angeles
Panama-Buena Vista Union School District,Bakersfield,Kern
Panoche Elementary School District,Paicines,San Benito
Paradise Elementary School District,Modesto,Stanislaus
Paradise Unified School District,Paradise,Butte
Paramount Unified School District,Paramount,Los Angeles
Parlier Unified School District,Parlier,Fresno
Pasadena Unified School District,Pasadena,Los Angeles
Paso Robles Joint Unified School District,Paso Robles,San Luis Obispo
Patterson Joint Unified School District,Patterson,Stanislaus
Peninsula Union  School District,Samoa,Humboldt
Penn Valley Union Elementary School District,Penn Valley,Nevada
Perris Elementary School District,Perris,Riverside
Perris Union High School District,Perris,Riverside
Petaluma City Elementary School District,Petaluma,Sonoma
Petaluma Joint Union High School District,Petaluma,Sonoma
Piedmont City Unified School District,Piedmont,Alameda
Pierce Joint Unified School District,Arbuckle,Colusa
Pine Ridge Elementary School District,Auberry,Fresno
Piner-Olivet Union Elementary School District,Santa Rosa,Sonoma
Pioneer Union Elementary School District,Berry Creek,Butte
Pioneer Union Elementary School District,Somerset,El Dorado
Pioneer Union Elementary School District,Hanford,Kings
Pittsburg Unified School District,Pittsburg,Contra Costa
Pixley Union Elementary School District,Pixley,Tulare
Placentia-Yorba Linda Unified School District,Placentia,Orange
Placer County Office Of Education School District,Auburn,Placer
Placer Hills Union Elementary School District,Meadow Vista,Placer
Placer Union High School District,Auburn,Placer
Placerville Union Elementary School District,Placerville,El Dorado
Plainsburg Union Elementary School District,Merced,Merced
Planada Elementary School District,Planada,Merced
Plaza Elementary School District,Orland,Glenn
Pleasant Grove Joint Union School District,Pleasant Grove,Sutter
Pleasant Ridge Union Elementary School District,Grass Valley,Nevada
Pleasant Valley Joint Union Elementary School District,San Miguel,San Luis Obispo
Pleasant Valley School District,Camarillo,Ventura
Pleasant View Elementary School District,Porterville,Tulare
Pleasanton Unified School District,Pleasanton,Alameda
Plumas County Office Of Education School District,Quincy,Plumas
Plumas County Rop School District,Quincy,Plumas
Plumas Lake Elementary School District,Plumas Lake,Yuba
Plumas Unified School District,Quincy,Plumas
Point Arena Joint Union High School District,Point Arena,Mendocino
Pollock Pines Elementary School District,Pollock Pines,El Dorado
Pomona Unified School District,Pomona,Los Angeles
Pond Union Elementary School District,Pond,Kern
Pope Valley Union Elementary School District,Pope Valley,Napa
Porterville Unified School District,Porterville,Tulare
Portola Valley Elementary School District,Portola Valley,San Mateo
Potter Valley Community Unified School District,Potter Valley,Mendocino
Poway Unified School District,San Diego,San Diego
Princeton Joint Unified School District,Princeton,Glenn
Raisin City Elementary School District,Raisin City,Fresno
Ramona City Unified School District,Ramona,San Diego
Rancho Santa Fe Elementary School District,Rancho Santa Fe,San Diego
Ravendale-Termo Elementary School District,Termo,Lassen
Ravenswood City Elementary School District,East Palo Alto,San Mateo
Raymond-Knowles Union Elementary School District,Raymond,Madera
Red Bluff Joint Union High School District,Red Bluff,Tehama
Red Bluff Union Elementary School District,Red Bluff,Tehama
Redding Elementary School District,Redding,Shasta
Redlands Unified School District,Redlands,San Bernardino
Redondo Beach Unified School District,Redondo Beach,Los Angeles
Redwood City Elementary School District,Redwood City,San Mateo
Reed Union Elementary School District,Tiburon,Marin
Reeds Creek Elementary School District,Red Bluff,Tehama
Reef-sunset Unified School District,Avenal,Kings
Rescue Union Elementary School District,Rescue,El Dorado
Rialto Unified School District,Rialto,San Bernardino
Richfield Elementary School District,Corning,Tehama
Richgrove Elementary School District,Richgrove,Tulare
Richland Union Elementary School District,Shafter,Kern
Richmond Elementary School District,Susanville,Lassen
Rim Of The World Unified School District,Blue Jay,San Bernardino
Rincon Valley Union Elementary School District,Santa Rosa,Sonoma
Rio Bravo-greeley Union Elementary School District,Bakersfield,Kern
Rio Dell Elementary School District,Rio Dell,Humboldt
Rio Elementary School District,Oxnard,Ventura
Ripon Unified School District,Ripon,San Joaquin
River Delta Joint Unified School District,Rio Vista,Sacramento
Riverbank Unified School District,Riverbank,Stanislaus
Riverdale Joint Unified School District,Riverdale,Fresno
Riverside County Office Of Education Rop School District,Riverside,Riverside
Riverside County Office Of Education School District,Riverside,Riverside
Riverside Unified School District,Riverside,Riverside
Roberts Ferry Union Elementary School District,Waterford,Stanislaus
Robla Elementary School District,Sacramento,Sacramento
Rockford Elementary School District,Porterville,Tulare
Rocklin Unified School District,Rocklin,Placer
Romoland Elementary School District,Homeland,Riverside
Rosedale Union Elementary School District,Bakersfield,Kern
Roseland School District,Santa Rosa,Sonoma
Rosemead Elementary School District,Rosemead,Los Angeles
Roseville City Elementary School District,Roseville,Placer
Roseville Joint Union High School District,Roseville,Placer
Ross Elementary School District,Ross,Marin
Ross Valley Elementary School District,San Anselmo,Marin
Round Valley Joint Elementary School District,Bishop,Inyo
Round Valley Unified School District,Covelo,Mendocino
Rowland Unified School District,Rowland Heights,Los Angeles
Sacramento City Unified School District,Sacramento,Sacramento
Sacramento County Office Of Education School District,Mather,Sacramento
Sacramento County Rop School District,Mather,Sacramento
Saddleback Valley Unified School District,Mission Viejo,Orange
Saint Helena Unified School District,Saint Helena,Napa
Salida Union Elementary School District,Salida,Stanislaus
Salinas City Elementary School District,Salinas,Monterey
Salinas Union High School District,Salinas,Monterey
San Antonio Rop School District,Pomona,Los Angeles
San Antonio Union Elementary School District,Lockwood,Monterey
San Ardo Union Elementary School District,San Ardo,Monterey
San Benito County Office Of Education School District,Hollister,San Benito
San Benito High School District,Hollister,San Benito
San Bernardino City Unified School District,San Bernardino,San Bernardino
San Bernardino County Office Of Education School District,San Bernardino,San Bernardino
San Bernardino County Rop School District,San Bernardino,San Bernardino
San Bruno Park Elementary School District,San Bruno,San Mateo
San Carlos Elementary School District,San Carlos,San Mateo
San Diego Community College School District,San Diego,San Diego
San Diego County Office Of Education School District,San Diego,San Diego
San Diego County Rop School District,San Diego,San Diego
San Diego Unified School District,San Diego,San Diego
San Dieguito Union High School District,Encinitas,San Diego
San Francisco County Office Of Education School District,San Francisco,San Francisco
San Francisco County Rop School District,San Francisco,San Francisco
San Francisco Unified School District,San Francisco,San Francisco
San Gabriel Unified School District,San Gabriel,Los Angeles
San Jacinto Unified School District,San Jacinto,Riverside
San Joaquin County Office Of Education School District,Stockton,San Joaquin
San Joaquin County Rop School District,Stockton,San Joaquin
San Jose Unified School District,San Jose,Santa Clara
San Juan Unified School District,Carmichael,Sacramento
San Leandro Unified School District,San Leandro,Alameda
San Lorenzo Unified School District,San Lorenzo,Alameda
San Lorenzo Valley Unified School District,Ben Lomond,Santa Cruz
San Lucas Union Elementary School District,San Lucas,Monterey
San Luis Coastal Unified School District,San Luis Obispo,San Luis Obispo
San Luis Obispo County Office Of Education School District,San Luis Obispo,San Luis Obispo
San Marcos Unified School District,San Marcos,San Diego
San Marino Unified School District,San Marino,Los Angeles
San Mateo County Office Of Education School District,Redwood City,San Mateo
San Mateo County Rop School District,Redwood City,San Mateo
San Mateo Union High School District,San Mateo,San Mateo
San Mateo-Foster City School District,Foster City,San Mateo
San Miguel Joint Union School District,San Miguel,San Luis Obispo
San Pasqual Union Elementary School District,Escondido,San Diego
San Pasqual Valley Unified School District,Winterhaven,Imperial
San Rafael City Elementary School District,San Rafael,Marin
San Rafael City High School District,San Rafael,Marin
San Ramon Valley Unified School District,Danville,Contra Costa
San Ysidro Elementary School District,San Ysidro,San Diego
Sanger Unified School District,Sanger,Fresno
Santa Ana Unified School District,Santa Ana,Orange
Santa Barbara County Office Of Education School District,Santa Barbara,Santa Barbara
Santa Barbara County Rop School District,Santa Barbara,Santa Barbara
Santa Barbara Unified School District,Santa Barbara,Santa Barbara
Santa Clara County Office Of Education School District,San Jose,Santa Clara
Santa Clara County Rop School District,Sunnyvale,Santa Clara
Santa Clara Elementary School District,Santa Paula,Ventura
Santa Clara Unified School District,Santa Clara,Santa Clara
Santa Cruz City Elementary School District,Soquel,Santa Cruz
Santa Cruz City High School District,Soquel,Santa Cruz
Santa Cruz County Office Of Education School District,Santa Cruz,Santa Cruz
Santa Cruz County Rop School District,Santa Cruz,Santa Cruz
Santa Maria Joint Union High School District,Santa Maria,Santa Barbara
Santa Maria-Bonita School District,Santa Maria,Santa Barbara
Santa Monica-Malibu Unified School District,Santa Monica,Los Angeles
Santa Paula Unified School District,Santa Paula,Ventura
Santa Rita Union Elementary School District,Salinas,Monterey
Santa Rosa Elementary School District,Santa Rosa,Sonoma
Santa Rosa High School District,Santa Rosa,Sonoma
Santa Ynez Valley Union High School District,Santa Ynez,Santa Barbara
Santee School District,Santee,San Diego
Saratoga Union Elementary School District,Saratoga,Santa Clara
Saucelito Elementary School District,Terra Bella,Tulare
Saugus Union School District,Santa Clarita,Los Angeles
Sausalito Marin City School District,Sausalito,Marin
Savanna Elementary School District,Anaheim,Orange
Sbc - High Technical High School District,San Diego,San Diego
Sbe - Academia Avance Charter School District,Los Angeles,Los Angeles
Sbe - Anahuacalmecac International University Preparatory Of North America School District,Los Angeles,Los Angeles
Sbe - Audeo Charter II,Carlsbad,San Diego
Sbe - Barack Obama Charter School District,Los Angeles,Los Angeles
Sbe - Baypoint Preparatory Academy School District,Hemet,Riverside
Sbe - Celerity Himalia School District,Los Angeles,Los Angeles
Sbe - Celerity Rolas School District,Los Angeles,Los Angeles
Sbe - Grossmont Secondary School District,El Cajon,San Diego
Sbe - Magnolia Science Academy Santa Ana School District,Santa Ana,Orange
Sbe - New West Charter School District,Los Angeles,Los Angeles
Sbe - Olive Grove Charter School District,New Cuyama,Santa Barbara
Sbe - Onepurpose School District,San Francisco,San Francisco
Sbe - Perseverance Preparatory School District,San Jose,Santa Clara
Sbe - Prepa Tec Los Angeles High School District,Bell,Los Angeles
Sbe - Ridgecrest Charter School District,Ridgecrest,Kern
Sbe - Rocketship Futuro Academy School District,Concord,Contra Costa
Sbe - Ross Valley Elementary School District,Fairfax,Marin
Sbe - Sweetwater Secondary School District,Chula Vista,San Diego
Sbe - The New School Of San Francisco School District,San Francisco,San Francisco
Sbe - The School Of Arts And Enterprise School District,Pomona,Los Angeles
Sbe - Thrive Public School District,San Diego,San Diego
Scotia Union Elementary School District,Scotia,Humboldt
Scott Valley Unified School District,Fort Jones,Siskiyou
Scotts Valley Unified School District,Scotts Valley,Santa Cruz
Sebastopol Union Elementary School District,Sebastopol,Sonoma
Seeley Union Elementary School District,Seeley,Imperial
Seiad Elementary School District,Seiad Valley,Siskiyou
Selma Unified School District,Selma,Fresno
Semitropic Elementary School District,Wasco,Kern
Sequoia Union Elementary School District,Lemon Cove,Tulare
Sequoia Union High School District,Redwood City,San Mateo
Shaffer Union Elementary School District,Litchfield,Lassen
Shandon Joint Unified School District,Shandon,San Luis Obispo
Shasta County Office Of Education School District,Redding,Shasta
Shasta Union Elementary School District,Shasta,Shasta
Shasta Union High School District,Redding,Shasta
Shasta-Trinity Rop School District,Redding,Shasta
Sherman Indian High School,Riverside,Riverside
Shiloh Elementary School District,Modesto,Stanislaus
Shoreline Unified School District,Tomales,Marin
Sierra County Office Of Education School District,Loyalton,Sierra
Sierra Sands Unified School District,Ridgecrest,Kern
Sierra Unified School District,Prather,Fresno
Sierra-Plumas Joint Unified School District,Loyalton,Sierra
Silver Fork Elementary School District,Pollock Pines,El Dorado
Silver Valley Unified School District,Yermo,San Bernardino
Simi Valley Unified School District,Simi Valley,Ventura
Siskiyou County Office Of Education School District,Yreka,Siskiyou
Siskiyou Rop School District,Yreka,Siskiyou
Siskiyou Union High School District,Mount Shasta,Siskiyou
Snelling-Merced Falls Union Elementary School District,Snelling,Merced
Snowline Joint Unified School District,Phelan,San Bernardino
Solana Beach Elementary School District,Solana Beach,San Diego
Solano County Office Of Education School District,Fairfield,Solano
Soledad Unified School District,Soledad,Monterey
Solvang Elementary School District,Solvang,Santa Barbara
Somis Union School District,Somis,Ventura
Sonoma County Office Of Education School District,Santa Rosa,Sonoma
Sonoma County Rop School District,Santa Rosa,Sonoma
Sonoma Valley Unified School District,Sonoma,Sonoma
Sonora Elementary School District,Sonora,Tuolumne
Sonora Union High School District,Sonora,Tuolumne
Soquel Union Elementary School District,Capitola,Santa Cruz
Soulsbyville Elementary School District,Soulsbyville,Tuolumne
South Bay Union Elementary School District,Eureka,Humboldt
South Bay Union School District,Imperial Beach,San Diego
South Fork Union School District,Weldon,Kern
South Monterey County Joint Union High School District,King City,Monterey
South Pasadena Unified School District,South Pasadena,Los Angeles
South San Francisco Unified School District,South San Francisco,San Mateo
South Whittier Elementary School District,Whittier,Los Angeles
Southern California Roc School District,Torrance,Los Angeles
Southern Humboldt Joint Unified School District,Miranda,Humboldt
Southern Kern Unified School District,Rosamond,Kern
Southern Trinity Joint Unified School District,Bridgeville,Trinity
Southside Elementary School District,Hollister,San Benito
Spencer Valley Elementary School District,Santa Ysabel,San Diego
Spreckels Union Elementary School District,Spreckels,Monterey
Springville Union Elementary School District,Springville,Tulare
Standard Elementary School District,Bakersfield,Kern
Stanislaus County Office Of Education School District,Modesto,Stanislaus
Stanislaus Union Elementary School District,Modesto,Stanislaus
Stockton Unified School District,Stockton,San Joaquin
Stone Corral Elementary School District,Visalia,Tulare
Stony Creek Joint Unified School District,Elk Creek,Glenn
Strathmore Union Elementary School District,Strathmore,Tulare
Sulphur Springs Union School District,Canyon Country,Los Angeles
Summerville Elementary School District,Tuolumne,Tuolumne
Summerville Union High School District,Tuolumne,Tuolumne
Sundale Union Elementary School District,Tulare,Tulare
Sunnyside Union Elementary School District,Strathmore,Tulare
Sunnyvale School District,Sunnyvale,Santa Clara
Sunol Glen Unified School District,Sunol,Alameda
Surprise Valley Joint Unified School District,Cedarville,Modoc
Susanville Elementary School District,Susanville,Lassen
Sutter County Office Of Education School District,Yuba City,Sutter
Sutter Union High School District,Sutter,Sutter
Sweetwater Union High School District,Chula Vista,San Diego
Sylvan Union Elementary School District,Modesto,Stanislaus
Taft City School District,Taft,Kern
Taft Union High School District,Taft,Kern
Tahoe-Truckee Unified School District,Truckee,Placer
Tamalpais Union High School District,Larkspur,Marin
Tehachapi Unified School District,Tehachapi,Kern
Tehama County Department Of Education School District,Red Bluff,Tehama
Tehama County Rop School District,Red Bluff,Tehama
Temecula Valley Unified School District,Temecula,Riverside
Temple City Unified School District,Temple City,Los Angeles
Templeton Unified School District,Templeton,San Luis Obispo
Terra Bella Union Elementary School District,Terra Bella,Tulare
Thermalito Union Elementary School District,Oroville,Butte
Three Rivers Union Elementary School District,Three Rivers,Tulare
Tipton Elementary School District,Tipton,Tulare
Torrance Unified School District,Torrance,Los Angeles
Tracy Joint Unified School District,Tracy,San Joaquin
Traver Joint Elementary School District,Traver,Tulare
Travis Unified School District,Fairfield,Solano
Tres Pinos Union Elementary School District,Tres Pinos,San Benito
Tri-Cities Rop School District,Whittier,Los Angeles
Tri-County Rop School District,Yuba City,Sutter
Tri-Valley Rop School District,Livermore,Alameda
Trinidad Union Elementary School District,Trinidad,Humboldt
Trinity Alps Unified School District,Weaverville,Trinity
Trinity Center Elementary School District,Trinity Center,Trinity
Trinity County Office Of Education School District,Weaverville,Trinity
Trona Joint Unified School District,Trona,San Bernardino
Tulare City School District,Tulare,Tulare
Tulare County Office Of Education School District,Visalia,Tulare
Tulare Joint Union High School District,Tulare,Tulare
Tulelake Basin Joint Unified School District,Tulelake,Modoc
Tuolumne County Superintendent Of Schools School District,Sonora,Tuolumne
Turlock Unified School District,Turlock,Stanislaus
Tustin Unified School District,Tustin,Orange
Twain Harte School District,Twain Harte,Tuolumne
Twin Hills Union Elementary School District,Sebastopol,Sonoma
Twin Ridges Elementary School District,Nevada City,Nevada
Twin Rivers Unified School District,Mcclellan,Sacramento
Two Rock Union School District,Petaluma,Sonoma
Ukiah Unified School District,Ukiah,Mendocino
Union Elementary School District,San Jose,Santa Clara
Union Hill Elementary School District,Grass Valley,Nevada
Upland Unified School District,Upland,San Bernardino
Upper Lake Unified,Upper Lake,Lake
Vacaville Unified School District,Vacaville,Solano
Val Verde Unified School District,Perris,Riverside
Valle Lindo Elementary School District,South El Monte,Los Angeles
Vallecito Union School District,Avery,Calaveras
Vallecitos Elementary School District,Rainbow,San Diego
Vallejo City Unified School District,Vallejo,Solano
Valley Center-Pauma Unified School District,Valley Center,San Diego
Valley Home Joint Elementary School District,Valley Home,Stanislaus
Valley Rop School District,Sanger,Fresno
Ventura County Office Of Education School District,Camarillo,Ventura
Ventura County Rop School District,Camarillo,Ventura
Ventura Unified School District,Ventura,Ventura
Victor Elementary School District,Victorville,San Bernardino
Victor Valley Union High School District,Victorville,San Bernardino
Vineland Elementary School District,Bakersfield,Kern
Visalia Unified School District,Visalia,Tulare
Vista Del Mar Union School District,Gaviota,Santa Barbara
Vista Unified School District,Vista,San Diego
Walnut Creek Elementary School District,Walnut Creek,Contra Costa
Walnut Valley Unified School District,Walnut,Los Angeles
Warner Unified School District,Warner Springs,San Diego
Wasco Union Elementary School District,Wasco,Kern
Wasco Union High School District,Wasco,Kern
Washington Colony Elementary School District,Fresno,Fresno
Washington Unified School District,West Sacramento,Yolo
Washington Unified School District,Fresno,Fresno
Washington Union Elementary School District,Salinas,Monterey
Waterford Unified School District,Waterford,Stanislaus
Waugh Elementary School District,Petaluma,Sonoma
Waukena Joint Union Elementary School District,Tulare,Tulare
Weaver Union School District,Merced,Merced
Weed Union Elementary School District,Weed,Siskiyou
West Contra Costa Unified School District,Richmond,Contra Costa
West Covina Unified School District,West Covina,Los Angeles
West Park Elementary School District,Fresno,Fresno
West Side Union Elementary School District,Healdsburg,Sonoma
West Sonoma County Union High School District,Sebastopol,Sonoma
Western Placer Unified School District,Lincoln,Placer
Westminster Elementary School District,Westminster,Orange
Westmorland Union Elementary School District,Westmorland,Imperial
Westside Elementary School District,Five Points,Fresno
Westside Union Elementary School District,Quartz Hill,Los Angeles
Westwood Unified School District,Westwood,Lassen
Wheatland School District,Wheatland,Yuba
Wheatland Union High School District,Wheatland,Yuba
Whitmore Union Elementary School District,Whitmore,Shasta
Whittier City Elementary School District,Whittier,Los Angeles
Whittier Union High School District,Whittier,Los Angeles
William (R) Rouse Rop School District,Loyalton,Sierra
William S. Hart Union High School District,Santa Clarita,Los Angeles
Williams Unified School District,Williams,Colusa
Willits Unified School District,Willits,Mendocino
Willow Creek Elementary School District,Montague,Siskiyou
Willow Grove Union Elementary School District,Paicines,San Benito
Willows Unified School District,Willows,Glenn
Wilmar Union Elementary School District,Petaluma,Sonoma
Wilsona Elementary School District,Palmdale,Los Angeles
Windsor Unified School District,Windsor,Sonoma
Winship-Robbins School District,Meridian,Sutter
Winters Joint Unified School District,Winters,Yolo
Winton School District,Winton,Merced
Wiseburn Unified School District,El Segundo,Los Angeles
Woodlake Unified School District,Woodlake,Tulare
Woodland Joint Unified School District,Woodland,Yolo
Woodside Elementary School District,Woodside,San Mateo
Woodville Union Elementary School District,Porterville,Tulare
Wright Elementary School District,Santa Rosa,Sonoma
Yolo County Office Of Education School District,Woodland,Yolo
Yolo County Rop School District,Woodland,Yolo
Yosemite Rop School District,Modesto,Stanislaus
Yosemite Unified School District,Oakhurst,Madera
Yreka Union Elementary School District,Yreka,Siskiyou
Yreka Union High School District,Yreka,Siskiyou
Yuba City Unified School District,Yuba City,Sutter
Yuba County Office Of Education School District,Marysville,Yuba
Yucaipa-Calimesa Joint Unified School District,Yucaipa,San Bernardino
