Edu_district,City,County
Camino Union Elementary School District,Camino,El Dorado
Campbell Union High School District,San Jose,Santa Clara
Campbell Union School District,Campbell,Santa Clara
Camptonville Elementary School District,Camptonville,Yuba
Canyon Elementary School District,Canyon,Contra Costa
Capay Joint Union Elementary School District,Orland,Glenn
Capistrano Unified School District,San Juan Capistrano,Orange
Capistrano-Laguna Beach Rop,San Juan Capistrano,Orange
Cardiff Elementary School District,Cardiff-By-The-Sea,San Diego
Carlsbad Unified School District,Carlsbad,San Diego
Carmel Unified School District,Carmel,Monterey
Carpinteria Unified School District,Carpinteria,Santa Barbara
Caruthers Unified School District,Caruthers,Fresno
Cascade Union Elementary School District,Anderson,Shasta
Castaic Union School District,Valencia,Los Angeles
Castle Rock Union Elementary School District,Castella,Shasta
Castro Valley Unified School District,Castro Valley,Alameda
Cayucos Elementary School District,Cayucos,San Luis Obispo
Center Joint Unified School District,Antelope,Sacramento
Centinela Valley Union High School District,Lawndale,Los Angeles
Central Elementary School District,Rancho Cucamonga,San Bernardino
Central Orange County Cte Partnership (Ctep) School District,Costa Mesa,Orange
Central Sierra Rop School District,Placerville,El Dorado
Central Unified School District,Fresno,Fresno
Central Union Elementary School District,Lemoore,Kings
Central Union High School District,El Centro,Imperial
Centralia Elementary School District,Buena Park,Orange
Ceres Unified School District,Ceres,Stanislaus
Chaffey Joint Union High School District,Ontario,San Bernardino
Charter Oak Unified School District,Covina,Los Angeles
Chatom Union School District,Turlock,Stanislaus
Chawanakee Unified School District,O'Neals,Madera
Chicago Park Elementary School District,Grass Valley,Nevada
Chico Unified School District,Chico,Butte
Chino Valley Unified School District,Chino,San Bernardino
Chowchilla Elementary School District,Chowchilla,Madera
Chowchilla Union High School District,Chowchilla,Madera
Chualar Union School District,Chualar,Monterey
Chula Vista Elementary School District,Chula Vista,San Diego
Cienega Union Elementary School District,Hollister,San Benito
Cinnabar Elementary School District,Petaluma,Sonoma
Claremont Unified School District,Claremont,Los Angeles
Clay Joint Elementary School District,Kingsburg,Fresno
Clear Creek Elementary School District,Grass Valley,Nevada
Cloverdale Unified School District,Cloverdale,Sonoma
Clovis Unified School District,Clovis,Fresno
Coachella Valley Unified School District,Thermal,Riverside
Coalinga-Huron Unified School District,Coalinga,Fresno
Coast Unified School District,Cambria,San Luis Obispo
Coastline Rop School District,Costa Mesa,Orange
Coffee Creek Elementary School District,Coffee Creek,Trinity
Cold Spring Elementary School District,Santa Barbara,Santa Barbara
Colfax Elementary School District,Colfax,Placer
College Elementary School District,Santa Ynez,Santa Barbara
Colton Joint Unified School District,Colton,San Bernardino
Colton-Redlands-Yucaipa Rop School District,Redlands,San Bernardino
Columbia Elementary School District,Redding,Shasta
Columbia Union School District,Columbia,Tuolumne
Columbine Elementary School District,Delano,Tulare
Colusa County Office Of Education School District,Colusa,Colusa
Colusa Unified School District,Colusa,Colusa
Compton Unified Rop School District,Compton,Los Angeles
Compton Unified School District,Compton,Los Angeles
Conejo Valley Unified School District,Thousand Oaks,Ventura
Contra Costa County Office Of Education School District,Pleasant Hill,Contra Costa
Contra Costa County Rop School District,Pleasant Hill,Contra Costa
Corcoran Joint Unified School District,Corcoran,Kings
Corning Union Elementary School District,Corning,Tehama
Corning Union High School District,Corning,Tehama
Corona-Norco Unified School District,Norco,Riverside
Coronado Unified School District,Coronado,San Diego
Cotati-Rohnert Park Unified School District,Rohnert Park,Sonoma
Cottonwood Union Elementary School District,Cottonwood,Shasta
Covina-Valley Unified School District,Covina,Los Angeles
Cucamonga Elementary School District,Rancho Cucamonga,San Bernardino
Cuddeback Union Elementary School District,Carlotta,Humboldt
Culver City Unified School District,Culver City,Los Angeles
Cupertino Union School District,Sunnyvale,Santa Clara
Curtis Creek Elementary School District,Sonora,Tuolumne
Cutler-Orosi Joint Unified School District,Orosi,Tulare
Cutten Elementary School District,Eureka,Humboldt
Cuyama Joint Unified School District,New Cuyama,Santa Barbara
Cypress Elementary School District,Cypress,Orange
Davis Joint Unified School District,Davis,Yolo
Death Valley Unified School District,Shoshone,Inyo
Dehesa Elementary School District,El Cajon,San Diego
Del Mar Union Elementary School District,San Diego,San Diego
Del Norte County Office Of Education School District,Crescent City,Del Norte
Del Norte County Rop School District,Crescent City,Del Norte
Del Norte County Unified School District,Crescent City,Del Norte
Delano Joint Union High School District,Delano,Kern
Delano Union Elementary School District,Delano,Kern
Delhi Unified School District,Delhi,Merced
Delphic Elementary School District,Montague,Siskiyou
Denair Unified School District,Denair,Stanislaus
Desert Center Unified School District,Desert Center,Riverside
Desert Sands Unified School District,La Quinta,Riverside
Di Giorgio Elementary School District,Arvin,Kern
Dinuba Unified School District,Dinuba,Tulare
Dixie Elementary School District,San Rafael,Marin
Dixon Unified School District,Dixon,Solano
